1,"12/31/2000"
2,"1/7/2001"
3,"1/14/2001"
4,"1/21/2001"
5,"1/28/2001"
6,"2/4/2001"
7,"2/11/2001"
8,"2/18/2001"
9,"2/25/2001"
10,"3/4/2001"
11,"3/11/2001"
12,"3/18/2001"
13,"3/25/2001"
14,"4/1/2001"
15,"4/8/2001"
16,"4/15/2001"
17,"4/22/2001"
18,"4/29/2001"
19,"5/6/2001"
20,"5/13/2001"
21,"5/20/2001"
22,"5/27/2001"
23,"6/3/2001"
24,"6/10/2001"
25,"6/17/2001"
26,"6/24/2001"
27,"7/1/2001"
28,"7/8/2001"
29,"7/15/2001"
30,"7/22/2001"
31,"7/29/2001"
32,"8/5/2001"
33,"8/12/2001"
34,"8/19/2001"
35,"8/26/2001"
36,"9/2/2001"
37,"9/9/2001"
38,"9/16/2001"
39,"9/23/2001"
40,"9/30/2001"
41,"10/7/2001"
42,"10/14/2001"
43,"10/21/2001"
44,"10/28/2001"
45,"11/4/2001"
46,"11/11/2001"
47,"11/18/2001"
48,"11/25/2001"
49,"12/2/2001"
50,"12/9/2001"
51,"12/16/2001"
52,"12/23/2001"
53,"12/30/2001"
54,"1/6/2002"
55,"1/13/2002"
56,"1/20/2002"
57,"1/27/2002"
58,"2/3/2002"
59,"2/10/2002"
60,"2/17/2002"
61,"2/24/2002"
62,"3/3/2002"
63,"3/10/2002"
64,"3/17/2002"
65,"3/24/2002"
66,"3/31/2002"
67,"4/7/2002"
68,"4/14/2002"
69,"4/21/2002"
70,"4/28/2002"
71,"5/5/2002"
72,"5/12/2002"
73,"5/19/2002"
74,"5/26/2002"
75,"6/2/2002"
76,"6/9/2002"
77,"6/16/2002"
78,"6/23/2002"
79,"6/30/2002"
80,"7/7/2002"
81,"7/14/2002"
82,"7/21/2002"
83,"7/28/2002"
84,"8/4/2002"
85,"8/11/2002"
86,"8/18/2002"
87,"8/25/2002"
88,"9/1/2002"
89,"9/8/2002"
90,"9/15/2002"
91,"9/22/2002"
92,"9/29/2002"
93,"10/6/2002"
94,"10/13/2002"
95,"10/20/2002"
96,"10/27/2002"
97,"11/3/2002"
98,"11/10/2002"
99,"11/17/2002"
100,"11/24/2002"
101,"12/1/2002"
102,"12/8/2002"
103,"12/15/2002"
104,"12/22/2002"
105,"12/29/2002"
106,"1/5/2003"
107,"1/12/2003"
108,"1/19/2003"
109,"1/26/2003"
110,"2/2/2003"
111,"2/9/2003"
112,"2/16/2003"
113,"2/23/2003"
114,"3/2/2003"
115,"3/9/2003"
116,"3/16/2003"
117,"3/23/2003"
118,"3/30/2003"
119,"4/6/2003"
120,"4/13/2003"
121,"4/20/2003"
122,"4/27/2003"
123,"5/4/2003"
124,"5/11/2003"
125,"5/18/2003"
126,"5/25/2003"
127,"6/1/2003"
128,"6/8/2003"
129,"6/15/2003"
130,"6/22/2003"
131,"6/29/2003"
132,"7/6/2003"
133,"7/13/2003"
134,"7/20/2003"
135,"7/27/2003"
136,"8/3/2003"
